Last update: 3.Mar.2026,,,USE THIS SHEET,,,,,,,,,
,,,,,,,,,,,,
Module,#,Layer,Journey / Use case,Status,Published,Blocker,Priority,Doc type,GitHub status detail,Primary URL(s),GitHub owner,notes
Logos Execution Zone (LEZ),1,L2,Set up a wallet for the Logos Execution Zone (LEZ) ❎,SME verified,"Yes, as verified by SME draft",,,Quickstart,https://github.com/logos-co/logos-docs/issues/131,https://github.com/logos-co/logos-docs/blob/main/docs/apps/wallet/journeys/quickstart-for-the-logos-execution-zone-wallet.md,moudyellaz,
Logos Execution Zone (LEZ),2,L2,Transfer native tokens on LEZ in public and private states ❎,SME verified,"Yes, as verified by SME draft",,,Procedure,https://github.com/logos-co/logos-docs/issues/133,https://github.com/logos-co/logos-docs/blob/main/docs/apps/wallet/journeys/transfer-native-tokens-on-the-logos-execution-zone.md,moudyellaz,
Logos Execution Zone (LEZ),3,L2,Create and transfer custom tokens on LEZ in public and private states ❎,Unverified,"Yes, as unverified draft",Drafting in progress,,Quickstart,https://github.com/logos-co/logos-docs/issues/159,https://github.com/logos-co/logos-docs/blob/main/docs/apps/wallet/journeys/create-and-transfer-custom-tokens-on-the-logos-execution-zone.md,moudyellaz,
Logos Execution Zone (LEZ),4,L2,Deploy and execute a program on LEZ (public/private)❎,N/A,"No, N/A",Out of Testnet v.01 scope,,Quickstart,https://github.com/logos-co/logos-docs/issues/161,N/A,moudyellaz,N/A - Out ot Testnet v0.1 scope
Logos Execution Zone (LEZ),5,L2,"Interact with a sample app (e.g., AMM) on LEZ in public and private states ❎",Unverified,"Yes, as unverified draft",Drafting in progress,,Reference,https://github.com/logos-co/logos-docs/issues/157,https://github.com/logos-co/logos-docs/blob/main/docs/apps/sample-apps/journeys/create-and-use-an-amm-liquidity-pool-on-the-logos-execution-zone.md,moudyellaz,
Logos Execution Zone (LEZ),6,L2,Use the LEZ block explorer to track transactions ❎,N/A,"No, N/A",Out of Testnet v.01 scope,,Procedure,https://github.com/logos-co/logos-docs/issues/155,N/A,moudyellaz,N/A - Out ot Testnet v0.1 scope
Logos Execution Zone (LEZ),7,L2,Run the LEZ centralized sequencer and publish to Logos Blockchain ❎,N/A,"No, N/A",Out of Testnet v.01 scope,,Procedure,https://github.com/logos-co/logos-docs/issues/172,N/A,moudyellaz,N/A - Out ot Testnet v0.1 scope
Logos Blockchain,8,L1,Start a Logos blockchain node,Unverified,"Yes, as unverified draft",Needs doc packet,,Quickstart,https://github.com/logos-co/logos-docs/issues/171,https://github.com/logos-co/logos-docs/blob/main/docs/blockchain/quickstart-guide-for-the-logos-blockchain-node.md,davidrusu,doc packets in PRs Logos App journey: https://github.com/logos-co/logos-docs/pull/183 | CLI binary journey: https://github.com/logos-co/logos-docs/pull/184 
Logos Storage,9,Storage,Use the Logos Storage module API from an app ❎,Unverified,"Yes, as unverified draft",Needs repo integration,,Procedure,https://github.com/logos-co/logos-docs/issues/144,https://logos-storage-docs.netlify.app/tutorials/storage-module/,gemga,doc packet in PR: https://github.com/logos-co/logos-docs/pull/166 
Logos Storage,10,Storage,Store and retrieve a file using the Simple Filesharing App ❎,Unverified,"Yes, as unverified draft",Needs repo integration,,Quickstart,https://github.com/logos-co/logos-docs/issues/175,https://logos-storage-docs.netlify.app/tutorials/libstorage/,gemga,
Logos Messaging,11,Messaging,"Use the Logos Delivery module API from an app ❎
Test the Logos Message Delivery API (Init, Send, Health)",Stub,"Yes, as a stub",Needs doc packet,,"Quickstart, API reference (secondary)",https://github.com/logos-co/logos-docs/issues/145,https://github.com/logos-co/logos-docs/blob/main/docs/messaging/journeys/use-the-logos-delivery-module-api-from-an-app.md,igor-sirotin,
Logos Messaging,12,Core / Messaging,"Use the Logos Chat module API from an app ❎
Use the Simple Chat App (1:1) and exchange key bundles out-of-band",Stub,"Yes, as a stub",Needs doc packet,,"Quickstart, API reference (secondary)",https://github.com/logos-co/logos-docs/issues/141,https://github.com/logos-co/logos-docs/blob/main/docs/messaging/journeys/use-the-logos-chat-module-api-from-an-app.md,igor-sirotin,
Logos Core,13,Core,"Run Logos Node in headless mode to start Blockchain, Storage, and Chat nodes ❎",Stub,"Yes, as a stub",Needs doc packet,,"Quickstart, API reference (secondary)",https://github.com/logos-co/logos-docs/issues/167,https://github.com/logos-co/logos-docs/blob/main/docs/core/journeys/run-logos-node-in-headless-mode.md,iurimatias,
Logos App,14,Core,Build and run Logos App (alpha) to access Testnet v0.1 UIs ❎,Stub,"Yes, as a stub",Needs doc packet,,Procedure,https://github.com/logos-co/logos-docs/issues/174,https://github.com/logos-co/logos-docs/blob/main/docs/core/journeys/build-and-run-logos-app-alpha-to-access-testnet-v0.1-uis.md,iurimatias,
AnonComms,15,(independent),Use the Mix Push Message App to send messages over the libp2p mixnet ❎,Unverified,"Yes, as unverified draft",Needs draft,,Quickstart,https://github.com/logos-co/logos-docs/issues/148,https://github.com/logos-co/logos-docs/blob/main/docs/connect/anoncomms/journeys/discover-nodes-and-send-messages-via-the-anoncomms-mixnet-demo-app.md,chaitanyaprem,
,,,,,,,,,,,,
"1, 2, 3, 8, 13, 4, 5, (6, 7, 8) 13, 9",,,,,,,,,,,,